iter	Passed	Remaining
399	82422	85718
400	82539	85421
401	82651	85118
402	82751	84804
403	82863	84504
404	82967	84197
405	83069	83887
406	83179	83588
407	83285	83285
408	83396	82988
409	83499	82685
410	83616	82396
411	83723	82097
412	83843	81813
413	84867	82407
414	85803	82908
415	86637	83305
416	87069	83311
417	87795	83594
418	88620	83967
419	88946	83863
420	89050	83550
421	89162	83246
422	89265	82934
423	89374	82629
424	89479	82321
425	89584	82013
426	89703	81720
427	89824	81429
428	89929	81125
429	90041	80827
430	90161	80538
431	90289	80257
432	90397	79959
433	90505	79661
434	90639	79387
435	90742	79087
436	90879	78817
437	91021	78552
438	91123	78254
439	91221	77952
440	91335	77666
441	91443	77375
442	91541	77076
443	91640	76779
444	91751	76494
445	92537	76769
446	93881	77499
447	94957	78001
448	96788	79112
449	96943	78847
450	97046	78540
451	97144	78231
452	97232	77914
453	97335	77611
454	97430	77302
455	97545	77009
456	97649	76709
457	97762	76417
458	97876	76126
459	97980	75828
460	98085	75532
461	98183	75231
462	98287	74936
463	98398	74647
464	98508	74358
465	98597	74053
466	98703	73763
467	98803	73469
468	98897	73171
469	99007	72886
470	99123	72606
471	99222	72314
472	99322	72024
473	99426	71738
474	99534	71455
475	99633	71166
476	99870	70977
477	101202	71561
478	101939	71719
479	102708	71896
480	103447	72047
481	104277	72258
482	104837	72279
483	104951	71991
484	105059	71700
485	105145	71395
486	105235	71093
487	105342	70804
488	105441	70510
489	105545	70220
490	105662	69939
491	105773	69655
492	105876	69367
493	105987	69084
494	106088	68796
495	106177	68501
496	106282	68217
497	106387	67934
498	106489	67649
499	106589	67364
500	106704	67089
501	106800	66803
502	106897	66518
503	106998	66237
504	107094	65953
505	107202	65677
506	107296	65393
507	107397	65114
508	107503	64839
509	107616	64570
510	107730	64300
511	108250	64273
512	109086	64431
513	109897	64569
514	110710	64706
515	111611	64890
516	112600	65121
517	112851	64922
518	112948	64635
519	113039	64345
520	113136	64060
521	113231	63773
522	113331	63491
523	113426	63207
524	113517	62920
525	113617	62640
526	113716	62360
527	113811	62078
528	113907	61798
529	114005	61519
530	114105	61242
531	114197	60962
532	114305	60691
533	114395	60411
534	114486	60132
535	114572	59851
536	114666	59575
537	114755	59297
538	114844	59020
539	114934	58744
540	115026	58470
541	115110	58192
542	115200	57918
543	115296	57648
544	115382	57373
545	115469	57100
546	115565	56832
547	115661	56564
548	115753	56295
549	116413	56301
550	117087	56312
551	117871	56373
552	118514	56364
553	119131	56340
554	119868	56370
555	120543	56369
556	120815	56177
557	120916	55907
558	121013	55635
559	121100	55360
560	121192	55087
561	121289	54817
562	121376	54543
563	121461	54270
564	121557	54001
565	121657	53735
566	121757	53470
567	121854	53203
568	121945	52935
569	122041	52670
570	122143	52408
571	122238	52143
572	122340	51882
573	122433	51618
574	122525	51354
575	122611	51087
576	122701	50824
577	122792	50561
578	122882	50299
579	122968	50035
580	123052	49771
581	123149	49513
582	123239	49253
583	123330	48994
584	123419	48734
585	123511	48477
586	123606	48221
587	123702	47966
588	124290	47901
589	124860	47828
590	125398	47740
591	125989	47671
592	127100	47796
593	127897	47799
594	128490	47724
595	128759	47528
596	128852	47267
597	128928	47000
598	129016	46738
599	129096	46474
600	129172	46209
601	129255	45947
602	129343	45688
603	129433	45430
604	129546	45180
605	129737	44958
606	129852	44710
607	129950	44456
608	130051	44204
609	130150	43952
610	130253	43702
611	130347	43449
612	130436	43195
613	130526	42941
614	130618	42690
615	130706	42437
616	130793	42184
617	130882	41933
618	130977	41684
619	131063	41432
620	131161	41185
621	131256	40938
622	131352	40691
623	131441	40443
624	131536	40197
625	131643	39955
626	132060	39807
627	132719	39731
628	133385	39655
629	134090	39588
