iter	RMSE
399	1221130.459
400	1219448.161
401	1218246.895
402	1217738.931
403	1215450.359
404	1214091.645
405	1213273.298
406	1211336.366
407	1209530.486
408	1207497.983
409	1206948.878
410	1204904.283
411	1203582.399
412	1202426.1
413	1200714.259
414	1199559.221
415	1198343.853
416	1196911.064
417	1194827.179
418	1193292.422
419	1192589.049
420	1191192.022
421	1188827.582
422	1187613.334
423	1186153.11
424	1185785.477
425	1185093.544
426	1183070.739
427	1181882.497
428	1180586.698
429	1178993.074
430	1176973.557
431	1176023.496
432	1174672.22
433	1173443.459
434	1173282.834
435	1172060.577
436	1170814.688
437	1168892.851
438	1168633.096
439	1167002.974
440	1165089.855
441	1164169.03
442	1163182.094
443	1162611.388
444	1161513.308
445	1159708.234
446	1158403.948
447	1156651.636
448	1155412.296
449	1154213.143
450	1152055.471
451	1150305.034
452	1148342.213
453	1147852.002
454	1146994.792
455	1145002.53
456	1143434.062
457	1141811.305
458	1139947.688
459	1137825.492
460	1136275.86
461	1135901.149
462	1133868.671
463	1132659.964
464	1130946.167
465	1130389.087
466	1128402.624
467	1125599.176
468	1124295.924
469	1123452.757
470	1121895.375
471	1121677.475
472	1121069.246
473	1119839.604
474	1118602.659
475	1116698.337
476	1115327.231
477	1114685.515
478	1114002.287
479	1112525.996
480	1110544.899
481	1109627.802
482	1109407.635
483	1108299.107
484	1106806.511
485	1106188.709
486	1105660.862
487	1104144.395
488	1102994.687
489	1101358.355
490	1099096.273
491	1098188.598
492	1097011.236
493	1096076.653
494	1094937.291
495	1094030.691
496	1093113.208
497	1090840.488
498	1089682.218
499	1087004.689
500	1086256.729
501	1086017.836
502	1085125.472
503	1083724.428
504	1082548.911
505	1080343.163
506	1077993.253
507	1077166.987
508	1076566.504
509	1075835.183
510	1075046.302
511	1073172.781
512	1072228.461
513	1071213.3
514	1070867.174
515	1069913.57
516	1069616.185
517	1068544.57
518	1067328.522
519	1066864.71
520	1066624.696
521	1065337.798
522	1063649.05
523	1062761.169
524	1062148.284
525	1060394.179
526	1058360.983
527	1057775.307
528	1056193.788
529	1054654.532
530	1053552.576
531	1052338.552
532	1051507.767
533	1050785.183
534	1049091.229
535	1048058.698
536	1046308.082
537	1045314.665
538	1044736.631
539	1044097.213
540	1041381.449
541	1040453.203
542	1040018.799
543	1039158.364
544	1038510.398
545	1037680.811
546	1036044.851
547	1035614.404
548	1034939.778
549	1034013.896
550	1033312.797
551	1032406.187
552	1031494.977
553	1031037.358
554	1029981.205
555	1028992.469
556	1027796.161
557	1026613.106
558	1025107.872
559	1023623.001
560	1022103.393
561	1021389.779
562	1019672.161
563	1018846.306
564	1018163.552
565	1017265.476
566	1016308.713
567	1015361.333
568	1014257.346
569	1013753.645
570	1012951.199
571	1011555.038
572	1010195.305
573	1008721.923
574	1007499.245
575	1006558.319
576	1005788.115
577	1004668.062
578	1003950.457
579	1002733.813
580	1001793.814
581	1000133.02
582	998879.1447
583	997799.76
584	997151.9321
585	996100.9873
586	995535.0659
587	995276.6381
588	993476.776
589	992879.9769
590	992086.2177
591	990632.6428
592	990031.3902
593	988187.1727
594	986978.4797
595	986439.9142
596	985334.1542
597	984325.8885
598	983364.7539
599	982634.4023
600	981922.6433
601	980823.4215
602	979980.7172
603	978187.6502
604	976558.8282
605	974817.4659
606	974012.6272
607	973786.5514
608	973024.3241
609	972098.4282
610	970856.0128
611	969891.2826
612	968525.5647
613	967618.4877
614	966671.8785
615	965963.3159
616	965129.0886
617	963310.2986
618	961433.8043
619	960712.8325
620	959730.8062
621	957876.4738
622	956660.6312
623	956362.9618
624	955312.9483
625	954355.4043
626	953936.4504
627	952709.7139
628	951964.4967
629	950610.9785
630	950285.1214
631	949250.6175
632	948483.1972
633	947157.9812
634	946488.3049
635	944912.1939
636	943800.341
637	942756.8557
638	942443.1254
639	940335.9086
640	939774.4803
641	939220.952
642	938495.8032
643	938108.9754
644	936798.9604
645	934934.285
646	934153.4535
647	932784.5111
648	931111.8604
649	930127.8981
650	929591.4017
651	928823.4646
652	927942.0044
653	927258.5225
654	926204.4165
655	924901.4738
656	924436.3468
657	922608.8391
658	922043.2428
659	921726.7943
660	921459.4671
661	920667.8297
662	919472.2242
663	918438.0506
664	917895.7612
665	916292.8512
666	915676.3925
667	914748.7006
668	913930.4871
669	912333.4353
670	911446.1278
671	911144.8549
672	910890.5987
673	909794.1641
674	908589.4478
675	907245.7379
676	905825.1896
677	905456.9483
678	904505.4827
679	903546.8642
680	902612.0421
681	902202.388
682	900786.4136
683	899566.6675
684	899027.2224
685	898376.1901
686	897771.5855
687	896552.5538
688	895127.2699
689	894168.7645
690	892352.637
691	891576.4723
692	890676.3169
693	890125.4561
694	889089.2486
695	888597.4613
696	888133.6171
697	887509.24
698	886028.9053
699	885057.5163
700	884137.2444
701	883040.5266
702	882068.4344
703	881286.2171
704	880486.6082
705	879370.943
706	878390.2021
707	877771.2645
708	876606.5312
709	876063.6283
710	875388.45
711	874379.3281
712	873008.2582
713	871455.1701
714	870755.9628
715	869489.1115
716	868953.6846
717	868418.9666
718	867635.31
719	866713.4313
720	866174.7345
721	865511.121
722	864603.5022
723	864048.4945
724	863589.3192
725	862932.9022
726	860880.6458
727	860204.4397
728	859537.8655
729	858797.123
730	858409.4746
731	857299.1768
732	856751.5092
733	856383.7963
734	855363.9578
735	854744.2654
736	853695.5465
737	852661.603
738	851654.6951
739	850933.6271
740	850532.3707
741	849064.553
742	848708.8976
743	848081.9708
744	846855.2306
745	846134.1907
746	844918.8859
747	844111.1033
748	843194.0306
749	842207.3652
750	841021.4357
751	839942.5991
752	838351.742
753	837474.6514
754	836638.2459
755	835854.8529
756	834902.3118
757	834356.4358
758	834005.5562
759	832857.7719
760	831884.1498
761	830500.893
762	829985.0567
763	829314.1463
764	828181.1936
765	827795.42
766	827410.1349
767	826194.1804
768	825722.8979
769	825115.8762
770	824528.8344
771	823544.6077
772	822653.123
773	821896.5222
774	821510.214
775	821127.8494
776	820886.9955
777	819841.3407
778	819220.9387
779	818383.5701
780	817786.566
781	817343.3988
782	816427.873
783	815341.4391
784	814445.9868
785	813028.6335
786	812634.4959
787	811371.8466
788	810907.9722
789	810172.8062
790	809986.0952
791	809323.6359
792	808188.344
793	807656.9698
794	807027.1708
795	806613.0881
796	805711.398
797	805007.4518
798	804333.4187
799	803538.5757
800	801931.2359
801	801387.5763
802	800718.7694
803	800201.6776
804	799260.6883
805	798665.127
806	798385.6198
807	797436.6353
808	796730.9995
809	796263.5711
810	795803.5273
811	795349.8466
812	794848.9322
813	793972.486
814	793783.0803
815	792879.2
